invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,dob
I118970,C181725,FEMALE,34,CLOTHING,5,1500.40,DEBIT CARD,2022-04-08,Metropol AVM,1992-02-05
I191365,C277101,FEMALE,64,FOOD & BEVERAGE,4,20.92,CREDIT CARD,2021-08-28,Zorlu Center,1962-02-05
I315218,C582346,FEMALE,44,CLOTHING,2,600.16,CREDIT CARD,2022-05-06,Metrocity,1982-02-05
I743449,C233022,FEMALE,34,FOOD & BEVERAGE,3,15.69,DEBIT CARD,2022-11-23,Zorlu Center,1992-02-05
I304006,C507236,FEMALE,50,TECHNOLOGY,1,1050.00,CREDIT CARD,2021-12-16,Viaport Outlet,1976-02-05
I163278,C112291,FEMALE,41,CLOTHING,1,300.08,CASH,2021-02-28,Viaport Outlet,1985-02-05
I463928,C622108,FEMALE,28,FOOD & BEVERAGE,1,5.23,DEBIT CARD,2022-01-27,Mall of Istanbul,1998-02-05
I441957,C263267,FEMALE,56,SOUVENIR,3,35.19,CASH,2022-06-18,Mall of Istanbul,1970-02-05
I160211,C285110,FEMALE,42,FOOD & BEVERAGE,4,20.92,DEBIT CARD,2021-02-01,Kanyon,1984-02-05
I233609,C123326,FEMALE,59,SHOES,4,2400.68,CASH,2021-08-07,Kanyon,1967-02-05
I303406,C804694,FEMALE,47,CLOTHING,1,300.08,CREDIT CARD,2021-05-10,Mall of Istanbul,1979-02-05
I188073,C288300,FEMALE,49,CLOTHING,2,600.16,CASH,2022-07-31,Kanyon,1977-02-05
I245148,C332430,FEMALE,52,CLOTHING,3,900.24,DEBIT CARD,2022-04-08,Metrocity,1974-02-05
I188845,C223526,FEMALE,54,TECHNOLOGY,3,3150.00,CASH,2021-02-09,Mall of Istanbul,1972-02-05
I850178,C268551,FEMALE,60,SOUVENIR,2,23.46,DEBIT CARD,2022-08-19,Metropol AVM,1966-02-05
I225830,C242037,FEMALE,55,CLOTHING,5,1500.40,CASH,2023-02-25,Cevahir AVM,1971-02-05
I296765,C283141,FEMALE,65,FOOD & BEVERAGE,3,15.69,CASH,2022-06-10,Istinye Park,1961-02-05
I259359,C170107,FEMALE,24,TOYS,2,71.68,DEBIT CARD,2021-02-19,Kanyon,2002-02-05
I191815,C218551,FEMALE,18,SHOES,3,1800.51,CASH,2022-04-15,Metrocity,2008-02-05
I226485,C208044,FEMALE,43,CLOTHING,5,1500.40,CASH,2022-12-14,Metrocity,1983-02-05
I114758,C223830,FEMALE,45,CLOTHING,3,900.24,CREDIT CARD,2022-08-01,Kanyon,1981-02-05
I948767,C108894,FEMALE,41,COSMETICS,1,40.66,DEBIT CARD,2022-12-10,Zorlu Center,1985-02-05
I797383,C128295,FEMALE,28,CLOTHING,3,900.24,CREDIT CARD,2021-10-14,Metropol AVM,1998-02-05
I656535,C120324,FEMALE,69,CLOTHING,2,600.16,CREDIT CARD,2022-07-30,Metrocity,1957-02-05
I562016,C307023,FEMALE,63,FOOD & BEVERAGE,5,26.15,CASH,2023-03-06,Forum Istanbul,1963-02-05
I150911,C218922,FEMALE,47,TECHNOLOGY,5,5250.00,CREDIT CARD,2022-11-11,Mall of Istanbul,1979-02-05
I954706,C169502,FEMALE,33,TECHNOLOGY,1,1050.00,CASH,2021-05-09,Mall of Istanbul,1993-02-05
I156257,C310086,FEMALE,36,FOOD & BEVERAGE,3,15.69,DEBIT CARD,2021-10-23,Kanyon,1990-02-05
I254169,C160749,FEMALE,64,CLOTHING,1,300.08,CASH,2022-09-07,Mall of Istanbul,1962-02-05
I202386,C231666,FEMALE,45,COSMETICS,3,121.98,CASH,2021-01-07,Istinye Park,1981-02-05
I225493,C253135,FEMALE,66,CLOTHING,2,600.16,CREDIT CARD,2021-05-09,Kanyon,1960-02-05
I200500,C197026,FEMALE,50,SHOES,4,2400.68,CREDIT CARD,2021-05-11,Metrocity,1976-02-05
I723571,C316272,FEMALE,58,TECHNOLOGY,1,1050.00,DEBIT CARD,2021-08-18,Viaport Outlet,1968-02-05
I134826,C275039,FEMALE,67,SHOES,4,2400.68,DEBIT CARD,2021-08-08,Mall of Istanbul,1959-02-05
I319624,C141813,FEMALE,52,COSMETICS,1,40.66,CREDIT CARD,2022-09-23,Metrocity,1974-02-05
I205452,C290531,FEMALE,27,CLOTHING,3,900.24,CASH,2022-09-11,Cevahir AVM,1999-02-05
I685763,C447739,FEMALE,28,TECHNOLOGY,1,1050.00,CASH,2021-07-09,Metrocity,1998-02-05
I926025,C170741,FEMALE,36,FOOD & BEVERAGE,4,20.92,DEBIT CARD,2022-09-18,Mall of Istanbul,1990-02-05
I668694,C192648,FEMALE,25,CLOTHING,1,300.08,CASH,2022-11-23,Mall of Istanbul,2001-02-05
I153556,C173398,FEMALE,55,SHOES,5,3000.85,CASH,2021-01-24,Cevahir AVM,1971-02-05
I303035,C757821,FEMALE,49,CLOTHING,1,300.08,CASH,2022-08-23,Istinye Park,1977-02-05
I437431,C200719,FEMALE,37,CLOTHING,5,1500.40,CASH,2021-07-18,Metrocity,1989-02-05
I190715,C209071,FEMALE,47,COSMETICS,1,40.66,CASH,2022-08-20,Metropol AVM,1979-02-05
I219113,C671908,FEMALE,55,SHOES,1,600.17,CREDIT CARD,2021-06-18,Viaport Outlet,1971-02-05
I293524,C311180,FEMALE,44,COSMETICS,5,203.30,CREDIT CARD,2022-08-19,Viaport Outlet,1982-02-05
I985258,C174280,FEMALE,20,CLOTHING,5,1500.40,DEBIT CARD,2023-01-01,Kanyon,2006-02-05
I907765,C308142,FEMALE,48,CLOTHING,4,1200.32,CREDIT CARD,2021-02-26,Metropol AVM,1978-02-05
I985952,C147856,FEMALE,54,FOOD & BEVERAGE,5,26.15,CASH,2021-05-28,Zorlu Center,1972-02-05
I295669,C744032,FEMALE,65,CLOTHING,4,1200.32,CASH,2022-03-21,Metrocity,1961-02-05
I210669,C222113,FEMALE,31,TOYS,5,179.20,CASH,2021-01-21,Mall of Istanbul,1995-02-05
I156510,C242581,FEMALE,36,CLOTHING,2,600.16,CREDIT CARD,2021-05-13,Zorlu Center,1990-02-05
I353294,C279201,FEMALE,23,BOOKS,2,30.30,CREDIT CARD,2021-02-10,Istinye Park,2003-02-05
I118277,C722614,FEMALE,41,CLOTHING,3,900.24,CREDIT CARD,2022-06-20,Emaar Square Mall,1985-02-05
I153382,C270777,FEMALE,35,BOOKS,1,15.15,DEBIT CARD,2022-07-31,Forum Istanbul,1991-02-05
I328006,C205073,FEMALE,28,FOOD & BEVERAGE,3,15.69,DEBIT CARD,2021-06-23,Kanyon,1998-02-05
I276824,C188254,FEMALE,28,CLOTHING,1,300.08,CASH,2023-01-27,Kanyon,1998-02-05
I818950,C619075,FEMALE,60,CLOTHING,1,300.08,CASH,2021-04-09,Kanyon,1966-02-05
I221908,C538264,FEMALE,27,CLOTHING,4,1200.32,CASH,2021-05-11,Metropol AVM,1999-02-05
I153092,C316135,FEMALE,68,CLOTHING,5,1500.40,CREDIT CARD,2021-01-16,Kanyon,1958-02-05
I225348,C334609,FEMALE,26,COSMETICS,2,81.32,CASH,2022-12-12,Zorlu Center,2000-02-05
I154516,C209393,FEMALE,42,TOYS,3,107.52,CASH,2022-04-22,Metrocity,1984-02-05
I591945,C967411,FEMALE,30,TOYS,2,71.68,DEBIT CARD,2023-02-13,Forum Istanbul,1996-02-05
I284819,C936907,FEMALE,25,SHOES,2,1200.34,CASH,2021-05-15,Viaport Outlet,2001-02-05
I305576,C123619,FEMALE,29,TOYS,2,71.68,CREDIT CARD,2021-07-24,Metrocity,1997-02-05
I286041,C226498,FEMALE,32,FOOD & BEVERAGE,5,26.15,CASH,2022-03-20,Istinye Park,1994-02-05
I280708,C301308,FEMALE,51,FOOD & BEVERAGE,3,15.69,CREDIT CARD,2021-08-03,Forum Istanbul,1975-02-05
I169439,C327887,FEMALE,51,TECHNOLOGY,1,1050.00,CASH,2021-10-20,Viaport Outlet,1975-02-05
I117736,C336781,FEMALE,25,CLOTHING,1,300.08,CREDIT CARD,2022-01-17,Mall of Istanbul,2001-02-05
I284965,C320957,FEMALE,59,COSMETICS,5,203.30,CREDIT CARD,2021-09-02,Forum Istanbul,1967-02-05
I150959,C239817,FEMALE,55,CLOTHING,1,300.08,CASH,2021-09-18,Emaar Square Mall,1971-02-05
I185286,C415991,FEMALE,44,FOOD & BEVERAGE,4,20.92,DEBIT CARD,2021-12-15,Emaar Square Mall,1982-02-05
I385064,C365532,FEMALE,63,SHOES,4,2400.68,DEBIT CARD,2023-02-26,Istinye Park,1963-02-05
I222799,C697564,FEMALE,64,CLOTHING,2,600.16,CASH,2022-05-27,Emaar Square Mall,1962-02-05
I271577,C212862,FEMALE,47,CLOTHING,2,600.16,DEBIT CARD,2021-06-03,Kanyon,1979-02-05
I186611,C545462,FEMALE,33,FOOD & BEVERAGE,3,15.69,CASH,2021-11-27,Forum Istanbul,1993-02-05
I190686,C315066,FEMALE,61,SHOES,1,600.17,CASH,2021-09-19,Kanyon,1965-02-05
I313697,C211020,FEMALE,57,CLOTHING,1,300.08,CASH,2022-01-14,Istinye Park,1969-02-05
I165022,C362313,FEMALE,25,CLOTHING,2,600.16,CASH,2021-04-16,Zorlu Center,2001-02-05
I183746,C220180,MALE,23,CLOTHING,1,300.08,CREDIT CARD,2023-02-15,Emaar Square Mall,2003-02-05
I156934,C256049,FEMALE,36,FOOD & BEVERAGE,4,20.92,CASH,2022-08-26,Kanyon,1990-02-05
I197701,C314217,FEMALE,58,SHOES,2,1200.34,CASH,2021-10-22,Viaport Outlet,1968-02-05
I311224,C252869,FEMALE,43,TECHNOLOGY,4,4200.00,DEBIT CARD,2022-02-07,Kanyon,1983-02-05
I241416,C297782,FEMALE,46,BOOKS,3,45.45,CREDIT CARD,2021-03-21,Zorlu Center,1980-02-05
I261720,C201817,FEMALE,49,TOYS,3,107.52,DEBIT CARD,2021-06-11,Metrocity,1977-02-05
I210424,C375492,FEMALE,48,FOOD & BEVERAGE,4,20.92,CASH,2021-08-21,Kanyon,1978-02-05
I141454,C397232,FEMALE,57,TOYS,3,107.52,CASH,2022-03-25,Kanyon,1969-02-05
I112164,C680255,FEMALE,61,FOOD & BEVERAGE,1,5.23,CASH,2021-11-18,Istinye Park,1965-02-05
I328197,C807356,FEMALE,68,SHOES,3,1800.51,CREDIT CARD,2021-04-18,Istinye Park,1958-02-05
I268616,C236676,FEMALE,47,CLOTHING,4,1200.32,CASH,2021-02-23,Mall of Istanbul,1979-02-05
I184445,C271328,FEMALE,68,BOOKS,1,15.15,CASH,2023-02-12,Mall of Istanbul,1958-02-05
I179734,C257161,FEMALE,60,BOOKS,4,60.60,CREDIT CARD,2022-03-09,Istinye Park,1966-02-05
I192478,C192362,FEMALE,59,TOYS,1,35.84,CASH,2021-06-07,Metrocity,1967-02-05
I186838,C307128,FEMALE,22,TECHNOLOGY,5,5250.00,CASH,2022-06-01,Kanyon,2004-02-05
I180696,C206166,FEMALE,46,CLOTHING,3,900.24,DEBIT CARD,2021-12-12,Kanyon,1980-02-05
I287011,C328078,FEMALE,39,FOOD & BEVERAGE,2,10.46,CASH,2022-05-20,Metropol AVM,1987-02-05
I141940,C583645,FEMALE,52,CLOTHING,5,1500.40,DEBIT CARD,2023-01-30,Kanyon,1974-02-05
I292395,C177592,FEMALE,23,CLOTHING,4,1200.32,CASH,2022-02-05,Kanyon,2003-02-05
I329400,C145013,FEMALE,35,CLOTHING,2,600.16,CREDIT CARD,2021-11-19,Mall of Istanbul,1991-02-05
I884102,C151431,FEMALE,61,CLOTHING,5,1500.40,CREDIT CARD,2021-05-03,Istinye Park,1965-02-05
I146549,C871272,FEMALE,27,CLOTHING,4,1200.32,DEBIT CARD,2022-02-20,Mall of Istanbul,1999-02-05
I640051,C213605,FEMALE,28,BOOKS,2,30.30,CASH,2023-02-12,Istinye Park,1998-02-05
I128255,C446450,FEMALE,51,CLOTHING,5,1500.40,CREDIT CARD,2022-01-19,Mall of Istanbul,1975-02-05
I192173,C693099,FEMALE,66,CLOTHING,2,600.16,CASH,2022-02-20,Istinye Park,1960-02-05
I272322,C145388,FEMALE,51,COSMETICS,4,162.64,CREDIT CARD,2021-08-09,Kanyon,1975-02-05
I258210,C167047,FEMALE,69,CLOTHING,4,1200.32,CASH,2021-03-22,Cevahir AVM,1957-02-05
I325256,C138279,FEMALE,49,COSMETICS,3,121.98,CREDIT CARD,2023-03-06,Metropol AVM,1977-02-05
I173884,C175807,FEMALE,35,COSMETICS,5,203.30,DEBIT CARD,2023-01-05,Emaar Square Mall,1991-02-05
I168421,C644797,FEMALE,51,TOYS,3,107.52,CASH,2021-12-26,Zorlu Center,1975-02-05
I176989,C115270,FEMALE,45,CLOTHING,1,300.08,DEBIT CARD,2021-02-21,Viaport Outlet,1981-02-05
I238201,C972736,FEMALE,62,FOOD & BEVERAGE,2,10.46,CASH,2022-12-06,Forum Istanbul,1964-02-05
I335659,C162942,FEMALE,60,BOOKS,2,30.30,DEBIT CARD,2021-06-09,Kanyon,1966-02-05
I289704,C190397,FEMALE,27,BOOKS,5,75.75,CASH,2021-08-30,Metropol AVM,1999-02-05
I139883,C213726,FEMALE,48,COSMETICS,3,121.98,CREDIT CARD,2022-11-10,Metropol AVM,1978-02-05
I243175,C592676,FEMALE,39,CLOTHING,1,300.08,DEBIT CARD,2021-06-28,Kanyon,1987-02-05
I919016,C334482,FEMALE,20,COSMETICS,3,121.98,CASH,2021-05-26,Forum Istanbul,2006-02-05
I190848,C320385,FEMALE,56,SOUVENIR,3,35.19,CREDIT CARD,2022-07-17,Forum Istanbul,1970-02-05
I257625,C281433,FEMALE,59,FOOD & BEVERAGE,2,10.46,CREDIT CARD,2021-06-08,Mall of Istanbul,1967-02-05
I230898,C232734,FEMALE,33,TOYS,4,143.36,CASH,2022-07-04,Istinye Park,1993-02-05
I115416,C871564,FEMALE,54,CLOTHING,1,300.08,CREDIT CARD,2022-06-25,Istinye Park,1972-02-05
I147157,C169011,FEMALE,42,CLOTHING,4,1200.32,CASH,2022-05-05,Metropol AVM,1984-02-05
I146746,C252692,FEMALE,37,CLOTHING,5,1500.40,CASH,2022-08-12,Mall of Istanbul,1989-02-05
I229187,C375953,FEMALE,18,COSMETICS,1,40.66,DEBIT CARD,2021-03-02,Zorlu Center,2008-02-05
I179179,C192048,FEMALE,48,CLOTHING,5,1500.40,DEBIT CARD,2022-04-09,Emaar Square Mall,1978-02-05
I329472,C175164,FEMALE,46,BOOKS,3,45.45,DEBIT CARD,2022-12-24,Kanyon,1980-02-05
I203272,C238176,FEMALE,25,FOOD & BEVERAGE,2,10.46,CASH,2022-06-25,Mall of Istanbul,2001-02-05
I721574,C179720,FEMALE,68,TOYS,5,179.20,CREDIT CARD,2022-03-16,Metropol AVM,1958-02-05
I129602,C203766,FEMALE,37,TECHNOLOGY,1,1050.00,DEBIT CARD,2023-01-28,Metrocity,1989-02-05
I171245,C706036,FEMALE,42,COSMETICS,3,121.98,CASH,2021-04-22,Mall of Istanbul,1984-02-05
I464077,C433311,FEMALE,51,FOOD & BEVERAGE,4,20.92,CASH,2022-06-13,Istinye Park,1975-02-05
I143001,C173651,FEMALE,20,FOOD & BEVERAGE,1,5.23,CASH,2021-04-08,Viaport Outlet,2006-02-05
I176013,C305226,FEMALE,57,SHOES,5,3000.85,CASH,2022-09-17,Metrocity,1969-02-05
I224978,C198453,FEMALE,26,SHOES,1,600.17,CASH,2021-05-10,Kanyon,2000-02-05
I110133,C256926,FEMALE,42,SHOES,5,3000.85,CASH,2022-11-23,Zorlu Center,1984-02-05
I323802,C275824,FEMALE,20,SHOES,3,1800.51,CASH,2022-10-13,Emaar Square Mall,2006-02-05
I962126,C141783,FEMALE,66,FOOD & BEVERAGE,2,10.46,CASH,2021-08-24,Istinye Park,1960-02-05
I226142,C549907,FEMALE,34,CLOTHING,5,1500.40,DEBIT CARD,2021-12-29,Mall of Istanbul,1992-02-05
I778619,C211457,FEMALE,33,CLOTHING,4,1200.32,DEBIT CARD,2023-01-20,Metropol AVM,1993-02-05
I249812,C330650,FEMALE,33,CLOTHING,5,1500.40,CASH,2021-08-26,Metrocity,1993-02-05
I309493,C262901,FEMALE,61,SHOES,5,3000.85,CASH,2022-06-27,Forum Istanbul,1965-02-05
I116015,C104775,FEMALE,24,CLOTHING,5,1500.40,CASH,2022-10-23,Kanyon,2002-02-05
I180153,C173302,FEMALE,28,COSMETICS,2,81.32,DEBIT CARD,2023-02-02,Kanyon,1998-02-05
I122973,C154493,FEMALE,60,CLOTHING,3,900.24,CASH,2023-01-10,Metrocity,1966-02-05
I494165,C940886,FEMALE,35,CLOTHING,4,1200.32,CASH,2022-09-28,Metrocity,1991-02-05
I144524,C287707,FEMALE,21,CLOTHING,1,300.08,CREDIT CARD,2023-02-10,Zorlu Center,2005-02-05
I255143,C131948,FEMALE,26,SHOES,5,3000.85,DEBIT CARD,2022-06-28,Metrocity,2000-02-05
I279030,C258535,FEMALE,41,CLOTHING,4,1200.32,CASH,2022-11-21,Metrocity,1985-02-05
I331099,C196805,FEMALE,26,COSMETICS,1,40.66,DEBIT CARD,2022-12-16,Metropol AVM,2000-02-05
I297243,C173711,FEMALE,20,FOOD & BEVERAGE,1,5.23,CASH,2022-02-06,Kanyon,2006-02-05
I211035,C619741,FEMALE,45,TECHNOLOGY,3,3150.00,CASH,2022-08-23,Metropol AVM,1981-02-05
I816971,C319495,FEMALE,62,SHOES,3,1800.51,CREDIT CARD,2021-12-07,Metrocity,1964-02-05
I784337,C319556,FEMALE,46,CLOTHING,4,1200.32,CASH,2021-05-06,Metrocity,1980-02-05
I950727,C261380,FEMALE,69,CLOTHING,5,1500.40,CASH,2022-12-21,Kanyon,1957-02-05
I227511,C322042,FEMALE,49,CLOTHING,3,900.24,CREDIT CARD,2022-04-18,Emaar Square Mall,1977-02-05
I312030,C276120,FEMALE,57,COSMETICS,1,40.66,CASH,2022-10-25,Metropol AVM,1969-02-05
I334723,C194112,FEMALE,42,CLOTHING,5,1500.40,CREDIT CARD,2022-08-06,Mall of Istanbul,1984-02-05
I216450,C130367,FEMALE,26,CLOTHING,1,300.08,DEBIT CARD,2021-01-06,Kanyon,2000-02-05
I333840,C240728,FEMALE,26,TOYS,4,143.36,CASH,2022-05-22,Kanyon,2000-02-05
I170670,C928089,FEMALE,20,SOUVENIR,5,58.65,CASH,2022-07-30,Viaport Outlet,2006-02-05
I290399,C291505,FEMALE,47,TOYS,2,71.68,CASH,2023-01-26,Kanyon,1979-02-05
I177033,C337662,FEMALE,27,COSMETICS,1,40.66,DEBIT CARD,2022-12-22,Mall of Istanbul,1999-02-05
I190493,C276875,FEMALE,41,CLOTHING,1,300.08,CASH,2022-06-26,Viaport Outlet,1985-02-05
I305607,C233099,FEMALE,40,COSMETICS,3,121.98,DEBIT CARD,2022-09-23,Kanyon,1986-02-05
I149647,C284692,FEMALE,20,FOOD & BEVERAGE,5,26.15,DEBIT CARD,2021-05-10,Metropol AVM,2006-02-05
I298663,C178575,FEMALE,51,COSMETICS,3,121.98,DEBIT CARD,2022-01-02,Metropol AVM,1975-02-05
I296448,C100735,FEMALE,57,COSMETICS,4,162.64,CREDIT CARD,2021-06-20,Kanyon,1969-02-05
I198287,C286461,FEMALE,24,FOOD & BEVERAGE,5,26.15,CASH,2021-03-01,Cevahir AVM,2002-02-05
I256688,C339513,MALE,59,COSMETICS,3,121.98,CASH,2022-10-06,Kanyon,1967-02-05
I330792,C653525,FEMALE,41,FOOD & BEVERAGE,3,15.69,CREDIT CARD,2021-06-08,Kanyon,1985-02-05
I198546,C685182,FEMALE,31,CLOTHING,5,1500.40,CREDIT CARD,2022-01-30,Cevahir AVM,1995-02-05
I315281,C109241,FEMALE,56,SOUVENIR,5,58.65,DEBIT CARD,2021-01-14,Mall of Istanbul,1970-02-05
I782112,C217820,FEMALE,27,TOYS,3,107.52,CREDIT CARD,2022-09-03,Cevahir AVM,1999-02-05
I263279,C319084,FEMALE,59,TECHNOLOGY,4,4200.00,CREDIT CARD,2022-10-17,Mall of Istanbul,1967-02-05
I111242,C284262,FEMALE,38,TOYS,4,143.36,CREDIT CARD,2021-04-22,Mall of Istanbul,1988-02-05
I156009,C155018,FEMALE,57,SOUVENIR,1,11.73,DEBIT CARD,2021-03-31,Kanyon,1969-02-05
I126489,C144454,FEMALE,60,CLOTHING,3,900.24,CREDIT CARD,2022-03-06,Emaar Square Mall,1966-02-05
I339593,C277520,FEMALE,34,TECHNOLOGY,4,4200.00,CASH,2021-09-18,Forum Istanbul,1992-02-05
I148439,C918514,FEMALE,44,CLOTHING,1,300.08,CREDIT CARD,2022-02-12,Istinye Park,1982-02-05
I167879,C271015,FEMALE,55,FOOD & BEVERAGE,2,10.46,CASH,2021-10-25,Viaport Outlet,1971-02-05
I222703,C265934,FEMALE,25,SHOES,3,1800.51,CREDIT CARD,2023-02-07,Forum Istanbul,2001-02-05
I216616,C256029,FEMALE,46,SHOES,3,1800.51,CREDIT CARD,2021-04-15,Metropol AVM,1980-02-05
I216148,C176912,FEMALE,22,CLOTHING,3,900.24,CASH,2021-10-17,Viaport Outlet,2004-02-05
I245564,C289338,FEMALE,27,CLOTHING,2,600.16,CREDIT CARD,2023-01-01,Mall of Istanbul,1999-02-05
I154566,C260821,FEMALE,63,COSMETICS,5,203.30,CREDIT CARD,2022-10-21,Zorlu Center,1963-02-05
I693146,C305812,FEMALE,67,CLOTHING,1,300.08,DEBIT CARD,2022-11-13,Metrocity,1959-02-05
I326176,C331322,FEMALE,19,FOOD & BEVERAGE,2,10.46,DEBIT CARD,2021-05-09,Kanyon,2007-02-05
I335368,C247518,FEMALE,46,COSMETICS,1,40.66,CREDIT CARD,2021-03-09,Kanyon,1980-02-05
I137685,C121098,FEMALE,38,TOYS,4,143.36,CREDIT CARD,2023-01-01,Kanyon,1988-02-05
I133403,C218737,FEMALE,24,SHOES,4,2400.68,DEBIT CARD,2022-07-15,Kanyon,2002-02-05
I252612,C105263,FEMALE,40,CLOTHING,5,1500.40,CASH,2022-10-15,Metrocity,1986-02-05
I124407,C101329,FEMALE,36,COSMETICS,2,81.32,DEBIT CARD,2021-07-28,Mall of Istanbul,1990-02-05
I147591,C140997,FEMALE,49,CLOTHING,1,300.08,CASH,2022-06-25,Mall of Istanbul,1977-02-05
I181926,C115794,FEMALE,28,TOYS,5,179.20,CASH,2022-12-25,Metropol AVM,1998-02-05
I386325,C315509,FEMALE,59,CLOTHING,5,1500.40,CASH,2021-05-14,Kanyon,1967-02-05
I297188,C203274,FEMALE,66,TOYS,2,71.68,CREDIT CARD,2022-01-28,Viaport Outlet,1960-02-05
I178380,C665018,FEMALE,24,BOOKS,5,75.75,CASH,2022-06-11,Kanyon,2002-02-05
I334250,C151289,FEMALE,40,CLOTHING,3,900.24,DEBIT CARD,2021-08-07,Istinye Park,1986-02-05
I107124,C289181,FEMALE,51,FOOD & BEVERAGE,4,20.92,CREDIT CARD,2022-10-09,Mall of Istanbul,1975-02-05
I275767,C148270,FEMALE,45,TOYS,4,143.36,CASH,2022-08-10,Kanyon,1981-02-05
I321318,C304164,FEMALE,48,TOYS,5,179.20,CASH,2023-01-01,Istinye Park,1978-02-05
I331108,C235292,FEMALE,31,BOOKS,4,60.60,CREDIT CARD,2021-11-10,Istinye Park,1995-02-05
I225621,C175066,FEMALE,65,CLOTHING,5,1500.40,CREDIT CARD,2021-01-14,Metropol AVM,1961-02-05
I282293,C316159,FEMALE,57,FOOD & BEVERAGE,2,10.46,CREDIT CARD,2022-04-07,Mall of Istanbul,1969-02-05
I902662,C813471,FEMALE,51,FOOD & BEVERAGE,4,20.92,CASH,2022-08-29,Kanyon,1975-02-05
I117841,C249141,FEMALE,62,TECHNOLOGY,1,1050.00,CREDIT CARD,2022-11-08,Mall of Istanbul,1964-02-05
I319084,C633184,FEMALE,24,CLOTHING,2,600.16,CASH,2022-05-21,Istinye Park,2002-02-05
I167092,C329733,FEMALE,36,COSMETICS,4,162.64,CREDIT CARD,2022-08-24,Viaport Outlet,1990-02-05
I119054,C459771,FEMALE,66,CLOTHING,1,300.08,CREDIT CARD,2022-05-01,Kanyon,1960-02-05
I249303,C297565,FEMALE,36,COSMETICS,1,40.66,CREDIT CARD,2022-03-07,Metrocity,1990-02-05
I938672,C680386,FEMALE,67,TOYS,5,179.20,CREDIT CARD,2021-12-22,Zorlu Center,1959-02-05
I293142,C519946,FEMALE,54,SHOES,5,3000.85,CREDIT CARD,2021-01-21,Mall of Istanbul,1972-02-05
I273250,C103864,FEMALE,62,COSMETICS,2,81.32,CASH,2021-05-07,Metrocity,1964-02-05
I112096,C284702,FEMALE,33,TOYS,3,107.52,CREDIT CARD,2021-04-29,Kanyon,1993-02-05
I333703,C297174,FEMALE,48,CLOTHING,5,1500.40,DEBIT CARD,2022-08-30,Metropol AVM,1978-02-05
I304020,C339288,FEMALE,50,TECHNOLOGY,5,5250.00,CREDIT CARD,2021-11-10,Forum Istanbul,1976-02-05
I158248,C247697,FEMALE,60,COSMETICS,5,203.30,CASH,2021-02-16,Metropol AVM,1966-02-05
I309651,C553588,FEMALE,44,TECHNOLOGY,5,5250.00,CASH,2021-12-02,Mall of Istanbul,1982-02-05
I229701,C152890,FEMALE,52,TOYS,4,143.36,CREDIT CARD,2021-06-18,Metrocity,1974-02-05
I312946,C678577,FEMALE,20,COSMETICS,3,121.98,CASH,2023-02-04,Istinye Park,2006-02-05
I257032,C135374,FEMALE,44,CLOTHING,1,300.08,DEBIT CARD,2021-11-05,Mall of Istanbul,1982-02-05
I329134,C605796,FEMALE,47,CLOTHING,4,1200.32,CASH,2022-08-26,Metrocity,1979-02-05
I179651,C285133,FEMALE,43,FOOD & BEVERAGE,3,15.69,CASH,2021-03-16,Emaar Square Mall,1983-02-05
I282624,C166555,FEMALE,44,SOUVENIR,2,23.46,DEBIT CARD,2021-01-15,Mall of Istanbul,1982-02-05
I920924,C230360,FEMALE,66,CLOTHING,1,300.08,DEBIT CARD,2021-06-08,Metrocity,1960-02-05
I217653,C246372,FEMALE,22,TECHNOLOGY,3,3150.00,CASH,2021-10-22,Metrocity,2004-02-05
I118330,C245292,FEMALE,32,TOYS,3,107.52,CASH,2021-05-22,Metrocity,1994-02-05
I426459,C872479,FEMALE,58,FOOD & BEVERAGE,2,10.46,CASH,2022-01-27,Metropol AVM,1968-02-05
I166487,C330162,FEMALE,59,SHOES,2,1200.34,CASH,2021-10-18,Mall of Istanbul,1967-02-05
I249116,C126226,FEMALE,18,FOOD & BEVERAGE,2,10.46,CREDIT CARD,2022-11-13,Mall of Istanbul,2008-02-05
I328599,C672523,FEMALE,69,BOOKS,1,15.15,CASH,2022-11-06,Mall of Istanbul,1957-02-05
I252698,C184506,FEMALE,37,CLOTHING,4,1200.32,CREDIT CARD,2021-07-05,Metrocity,1989-02-05
I331280,C100607,FEMALE,54,TECHNOLOGY,5,5250.00,CASH,2021-07-21,Istinye Park,1972-02-05
I121083,C697523,FEMALE,42,COSMETICS,3,121.98,CASH,2021-03-02,Zorlu Center,1984-02-05
I239421,C158578,FEMALE,31,CLOTHING,2,600.16,CASH,2021-12-20,Istinye Park,1995-02-05
I189976,C178528,FEMALE,34,CLOTHING,1,300.08,DEBIT CARD,2022-02-18,Cevahir AVM,1992-02-05
I101541,C210572,FEMALE,58,CLOTHING,3,900.24,DEBIT CARD,2021-12-13,Istinye Park,1968-02-05
I158469,C216190,FEMALE,56,SOUVENIR,1,11.73,CASH,2021-09-16,Kanyon,1970-02-05
I485370,C243265,FEMALE,22,FOOD & BEVERAGE,5,26.15,DEBIT CARD,2022-09-21,Metrocity,2004-02-05
I122256,C264437,FEMALE,63,FOOD & BEVERAGE,1,5.23,CASH,2023-01-01,Metrocity,1963-02-05
